Product,Display Name,Fixture ID,Position X,Position Y,Position Z,DMX Universe,DMX Channel
Pixel RGB 12mm,T01-B0001-P001,1,157,196,1,1,1
Pixel RGB 12mm,T01-B0001-P002,2,157,196,1,1,4
Pixel RGB 12mm,T01-B0001-P003,3,156,196,1,1,7
Pixel RGB 12mm,T01-B0001-P004,4,155,197,1,1,10
Pixel RGB 12mm,T01-B0001-P005,5,155,197,1,1,13
Pixel RGB 12mm,T01-B0001-P006,6,155,197,1,1,16
Pixel RGB 12mm,T01-B0001-P007,7,154,197,1,1,19
Pixel RGB 12mm,T01-B0001-P008,8,154,197,1,1,22
Pixel RGB 12mm,T01-B0001-P009,9,153,197,1,1,25
Pixel RGB 12mm,T01-B0001-P010,10,158,196,1,1,28
Pixel RGB 12mm,T01-B0001-P011,11,159,196,1,1,31
Pixel RGB 12mm,T01-B0001-P012,12,160,197,1,1,34
Pixel RGB 12mm,T01-B0001-P013,13,161,197,1,1,37
Pixel RGB 12mm,T01-B0001-P014,14,161,197,1,1,40
Pixel RGB 12mm,T01-B0001-P015,15,162,197,1,1,43
Pixel RGB 12mm,T01-B0001-P016,16,163,197,1,1,46
Pixel RGB 12mm,T01-B0001-P017,17,163,197,1,1,49
Pixel RGB 12mm,T01-B0001-P018,18,158,197,1,1,52
Pixel RGB 12mm,T01-B0001-P019,19,158,197,1,1,55
Pixel RGB 12mm,T01-B0001-P020,20,157,197,1,1,58
Pixel RGB 12mm,T01-B0001-P021,21,157,197,1,1,61
Pixel RGB 12mm,T01-B0001-P022,22,156,197,1,1,64
Pixel RGB 12mm,T01-B0001-P023,23,156,197,1,1,67
Pixel RGB 12mm,T01-B0001-P024,24,159,197,1,1,70
Pixel RGB 12mm,T01-B0001-P025,25,160,197,1,1,73
Pixel RGB 12mm,T01-B0001-P026,26,161,197,1,1,76
Pixel RGB 12mm,T01-B0001-P027,27,161,197,1,1,79
Pixel RGB 12mm,T01-B0001-P028,28,162,197,1,1,82
Pixel RGB 12mm,T01-B0001-P029,29,163,197,1,1,85
Pixel RGB 12mm,T01-B0001-P030,30,159,197,1,1,88
Pixel RGB 12mm,T01-B0001-P031,31,159,197,1,1,91
Pixel RGB 12mm,T01-B0001-P032,32,158,197,1,1,94
Pixel RGB 12mm,T01-B0001-P033,33,158,197,1,1,97
Pixel RGB 12mm,T01-B0001-P034,34,158,197,1,1,100
Pixel RGB 12mm,T01-B0001-P035,35,160,196,1,1,103
Pixel RGB 12mm,T01-B0001-P036,36,161,196,1,1,106
Pixel RGB 12mm,T01-B0001-P037,37,162,196,1,1,109
Pixel RGB 12mm,T01-B0001-P038,38,161,196,1,1,112
Pixel RGB 12mm,T01-B0001-P039,39,160,196,1,1,115
Pixel RGB 12mm,T01-B0001-P040,40,157,196,1,1,118
Pixel RGB 12mm,T01-B0001-P041,41,157,196,1,1,121
Pixel RGB 12mm,T01-B0001-P042,42,158,196,1,1,124
Pixel RGB 12mm,T01-B0001-P043,43,158,196,1,1,127
Pixel RGB 12mm,T01-B0001-P044,44,158,196,1,1,130
Pixel RGB 12mm,T01-B0001-P045,45,158,196,1,1,133
Pixel RGB 12mm,T01-B0001-P046,46,158,197,1,1,136
Pixel RGB 12mm,T01-B0001-P047,47,158,197,1,1,139
Pixel RGB 12mm,T01-B0001-P048,48,159,197,1,1,142
Pixel RGB 12mm,T01-B0001-P049,49,159,197,1,1,145
Pixel RGB 12mm,T01-B0001-P050,50,159,197,1,1,148
Pixel RGB 12mm,T01-B0001-P051,51,159,197,1,1,151
Pixel RGB 12mm,T01-B0001-P052,52,159,197,1,1,154
Pixel RGB 12mm,T01-B0001-P053,53,160,197,1,1,157
Pixel RGB 12mm,T01-B0001-P054,54,160,197,1,1,160
Pixel RGB 12mm,T01-B0001-P055,55,160,196,1,1,163
Pixel RGB 12mm,T01-B0001-P056,56,160,196,1,1,166
Pixel RGB 12mm,T01-B0001-P057,57,160,196,1,1,169
Pixel RGB 12mm,T01-B0001-P058,58,161,196,1,1,172
Pixel RGB 12mm,T01-B0001-P059,59,161,196,1,1,175
Pixel RGB 12mm,T01-B0001-P060,60,161,196,1,1,178
Pixel RGB 12mm,T01-B0002-P001,61,148,193,1,1,181
Pixel RGB 12mm,T01-B0002-P002,62,147,194,1,1,184
Pixel RGB 12mm,T01-B0002-P003,63,146,194,1,1,187
Pixel RGB 12mm,T01-B0002-P004,64,146,194,1,1,190
Pixel RGB 12mm,T01-B0002-P005,65,145,194,1,1,193
Pixel RGB 12mm,T01-B0002-P006,66,144,194,1,1,196
Pixel RGB 12mm,T01-B0002-P007,67,144,194,1,1,199
Pixel RGB 12mm,T01-B0002-P008,68,143,195,1,1,202
Pixel RGB 12mm,T01-B0002-P009,69,143,195,1,1,205
Pixel RGB 12mm,T01-B0002-P010,70,142,195,1,1,208
Pixel RGB 12mm,T01-B0002-P011,71,148,194,1,1,211
Pixel RGB 12mm,T01-B0002-P012,72,149,194,1,1,214
Pixel RGB 12mm,T01-B0002-P013,73,150,194,1,1,217
Pixel RGB 12mm,T01-B0002-P014,74,150,194,1,1,220
Pixel RGB 12mm,T01-B0002-P015,75,151,194,1,1,223
Pixel RGB 12mm,T01-B0002-P016,76,151,194,1,1,226
Pixel RGB 12mm,T01-B0002-P017,77,152,194,1,1,229
Pixel RGB 12mm,T01-B0002-P018,78,152,194,1,1,232
Pixel RGB 12mm,T01-B0002-P019,79,152,195,1,1,235
Pixel RGB 12mm,T01-B0002-P020,80,153,195,1,1,238
Pixel RGB 12mm,T01-B0002-P021,81,148,194,1,1,241
Pixel RGB 12mm,T01-B0002-P022,82,147,194,1,1,244
Pixel RGB 12mm,T01-B0002-P023,83,146,194,1,1,247
Pixel RGB 12mm,T01-B0002-P024,84,146,194,1,1,250
Pixel RGB 12mm,T01-B0002-P025,85,145,194,1,1,253
Pixel RGB 12mm,T01-B0002-P026,86,145,195,1,1,256
Pixel RGB 12mm,T01-B0002-P027,87,144,195,1,1,259
Pixel RGB 12mm,T01-B0002-P028,88,144,195,1,1,262
Pixel RGB 12mm,T01-B0002-P029,89,143,195,1,1,265
Pixel RGB 12mm,T01-B0002-P030,90,148,194,1,1,268
Pixel RGB 12mm,T01-B0002-P031,91,148,194,1,1,271
Pixel RGB 12mm,T01-B0002-P032,92,149,194,1,1,274
Pixel RGB 12mm,T01-B0002-P033,93,149,194,1,1,277
Pixel RGB 12mm,T01-B0002-P034,94,150,194,1,1,280
Pixel RGB 12mm,T01-B0002-P035,95,150,194,1,1,283
Pixel RGB 12mm,T01-B0002-P036,96,151,195,1,1,286
Pixel RGB 12mm,T01-B0002-P037,97,147,194,1,1,289
Pixel RGB 12mm,T01-B0002-P038,98,147,194,1,1,292
Pixel RGB 12mm,T01-B0002-P039,99,146,194,1,1,295
Pixel RGB 12mm,T01-B0002-P040,100,145,194,1,1,298
Pixel RGB 12mm,T01-B0002-P041,101,145,194,1,1,301
Pixel RGB 12mm,T01-B0002-P042,102,147,194,1,1,304
Pixel RGB 12mm,T01-B0002-P043,103,148,194,1,1,307
Pixel RGB 12mm,T01-B0002-P044,104,148,194,1,1,310
Pixel RGB 12mm,T01-B0002-P045,105,149,194,1,1,313
Pixel RGB 12mm,T01-B0002-P046,106,147,193,1,1,316
Pixel RGB 12mm,T01-B0002-P047,107,146,193,1,1,319
Pixel RGB 12mm,T01-B0002-P048,108,146,193,1,1,322
Pixel RGB 12mm,T01-B0002-P049,109,148,193,1,1,325
Pixel RGB 12mm,T01-B0002-P050,110,148,193,1,1,328
Pixel RGB 12mm,T01-B0002-P051,111,148,194,1,1,331
Pixel RGB 12mm,T01-B0002-P052,112,148,194,1,1,334
Pixel RGB 12mm,T01-B0002-P053,113,148,194,1,1,337
Pixel RGB 12mm,T01-B0002-P054,114,148,194,1,1,340
Pixel RGB 12mm,T01-B0002-P055,115,148,194,1,1,343
Pixel RGB 12mm,T01-B0002-P056,116,148,194,1,1,346
Pixel RGB 12mm,T01-B0002-P057,117,148,194,1,1,349
Pixel RGB 12mm,T01-B0002-P058,118,148,194,1,1,352
Pixel RGB 12mm,T01-B0002-P059,119,148,194,1,1,355
Pixel RGB 12mm,T01-B0002-P060,120,147,194,1,1,358
Pixel RGB 12mm,T01-B0002-P061,121,147,194,1,1,361
Pixel RGB 12mm,T01-B0002-P062,122,147,194,1,1,364
Pixel RGB 12mm,T01-B0002-P063,123,147,194,1,1,367
Pixel RGB 12mm,T01-B0002-P064,124,147,194,1,1,370
Pixel RGB 12mm,T01-B0002-P065,125,147,194,1,1,373
Pixel RGB 12mm,T01-B0002-P066,126,147,194,1,1,376
Pixel RGB 12mm,T01-B0002-P067,127,147,193,1,1,379
Pixel RGB 12mm,T01-B0002-P068,128,147,193,1,1,382
Pixel RGB 12mm,T01-B0002-P069,129,147,193,1,1,385
Pixel RGB 12mm,T01-B0003-P001,130,145,196,1,1,388
Pixel RGB 12mm,T01-B0003-P002,131,145,196,1,1,391
Pixel RGB 12mm,T01-B0003-P003,132,146,196,1,1,394
Pixel RGB 12mm,T01-B0003-P004,133,147,196,1,1,397
Pixel RGB 12mm,T01-B0003-P005,134,147,196,1,1,400
Pixel RGB 12mm,T01-B0003-P006,135,148,196,1,1,403
Pixel RGB 12mm,T01-B0003-P007,136,148,196,1,1,406
Pixel RGB 12mm,T01-B0003-P008,137,149,196,1,1,409
Pixel RGB 12mm,T01-B0003-P009,138,149,196,1,1,412
Pixel RGB 12mm,T01-B0003-P010,139,150,196,1,1,415
Pixel RGB 12mm,T01-B0003-P011,140,150,196,1,1,418
