Product,Display Name,Fixture ID,Position X,Position Y,Position Z,DMX Universe,DMX Channel
Pixel RGB 12mm,T01-B0001-P001,1,43,163,20,1,1
Pixel RGB 12mm,T01-B0001-P002,2,44,164,20,1,4
Pixel RGB 12mm,T01-B0001-P003,3,44,164,19,1,7
Pixel RGB 12mm,T01-B0001-P004,4,44,164,19,1,10
Pixel RGB 12mm,T01-B0001-P005,5,44,164,18,1,13
Pixel RGB 12mm,T01-B0001-P006,6,44,164,18,1,16
Pixel RGB 12mm,T01-B0001-P007,7,45,164,18,1,19
Pixel RGB 12mm,T01-B0001-P008,8,45,164,17,1,22
Pixel RGB 12mm,T01-B0001-P009,9,45,165,17,1,25
Pixel RGB 12mm,T01-B0001-P010,10,45,164,20,1,28
Pixel RGB 12mm,T01-B0001-P011,11,45,164,20,1,31
Pixel RGB 12mm,T01-B0001-P012,12,46,164,20,1,34
Pixel RGB 12mm,T01-B0001-P013,13,46,164,20,1,37
Pixel RGB 12mm,T01-B0001-P014,14,47,164,20,1,40
Pixel RGB 12mm,T01-B0001-P015,15,47,164,21,1,43
Pixel RGB 12mm,T01-B0001-P016,16,48,164,21,1,46
Pixel RGB 12mm,T01-B0001-P017,17,48,164,21,1,49
Pixel RGB 12mm,T01-B0001-P018,18,46,164,19,1,52
Pixel RGB 12mm,T01-B0001-P019,19,46,164,19,1,55
Pixel RGB 12mm,T01-B0001-P020,20,46,164,18,1,58
Pixel RGB 12mm,T01-B0001-P021,21,46,164,18,1,61
Pixel RGB 12mm,T01-B0001-P022,22,47,164,17,1,64
Pixel RGB 12mm,T01-B0001-P023,23,47,164,17,1,67
Pixel RGB 12mm,T01-B0001-P024,24,47,164,19,1,70
Pixel RGB 12mm,T01-B0001-P025,25,48,164,19,1,73
Pixel RGB 12mm,T01-B0001-P026,26,48,164,19,1,76
Pixel RGB 12mm,T01-B0001-P027,27,49,164,19,1,79
Pixel RGB 12mm,T01-B0001-P028,28,49,164,20,1,82
Pixel RGB 12mm,T01-B0001-P029,29,49,164,20,1,85
Pixel RGB 12mm,T01-B0001-P030,30,48,164,18,1,88
Pixel RGB 12mm,T01-B0001-P031,31,49,164,18,1,91
Pixel RGB 12mm,T01-B0001-P032,32,49,164,17,1,94
Pixel RGB 12mm,T01-B0001-P033,33,49,164,17,1,97
Pixel RGB 12mm,T01-B0001-P034,34,49,164,16,1,100
Pixel RGB 12mm,T01-B0001-P035,35,50,164,18,1,103
Pixel RGB 12mm,T01-B0001-P036,36,50,164,18,1,106
Pixel RGB 12mm,T01-B0001-P037,37,51,164,19,1,109
Pixel RGB 12mm,T01-B0001-P038,38,51,163,17,1,112
Pixel RGB 12mm,T01-B0001-P039,39,51,163,17,1,115
Pixel RGB 12mm,T01-B0001-P040,40,43,163,21,1,118
Pixel RGB 12mm,T01-B0001-P041,41,43,163,21,1,121
Pixel RGB 12mm,T01-B0001-P042,42,43,163,20,1,124
Pixel RGB 12mm,T01-B0001-P043,43,44,164,20,1,127
Pixel RGB 12mm,T01-B0001-P044,44,44,164,20,1,130
Pixel RGB 12mm,T01-B0001-P045,45,45,164,20,1,133
Pixel RGB 12mm,T01-B0001-P046,46,45,164,20,1,136
Pixel RGB 12mm,T01-B0001-P047,47,46,164,19,1,139
Pixel RGB 12mm,T01-B0001-P048,48,46,164,19,1,142
Pixel RGB 12mm,T01-B0001-P049,49,47,164,19,1,145
Pixel RGB 12mm,T01-B0001-P050,50,47,164,19,1,148
Pixel RGB 12mm,T01-B0001-P051,51,48,164,19,1,151
Pixel RGB 12mm,T01-B0001-P052,52,48,164,18,1,154
Pixel RGB 12mm,T01-B0001-P053,53,49,164,18,1,157
Pixel RGB 12mm,T01-B0001-P054,54,49,164,18,1,160
Pixel RGB 12mm,T01-B0001-P055,55,49,164,18,1,163
Pixel RGB 12mm,T01-B0001-P056,56,50,164,18,1,166
Pixel RGB 12mm,T01-B0001-P057,57,50,164,18,1,169
Pixel RGB 12mm,T01-B0001-P058,58,51,163,18,1,172
Pixel RGB 12mm,T01-B0001-P059,59,51,163,18,1,175
Pixel RGB 12mm,T01-B0001-P060,60,52,163,17,1,178
Pixel RGB 12mm,T01-B0002-P001,61,41,161,17,1,181
Pixel RGB 12mm,T01-B0002-P002,62,41,161,16,1,184
Pixel RGB 12mm,T01-B0002-P003,63,41,161,16,1,187
Pixel RGB 12mm,T01-B0002-P004,64,41,161,15,1,190
Pixel RGB 12mm,T01-B0002-P005,65,41,162,15,1,193
Pixel RGB 12mm,T01-B0002-P006,66,41,162,14,1,196
Pixel RGB 12mm,T01-B0002-P007,67,41,162,14,1,199
Pixel RGB 12mm,T01-B0002-P008,68,41,162,13,1,202
Pixel RGB 12mm,T01-B0002-P009,69,41,162,13,1,205
Pixel RGB 12mm,T01-B0002-P010,70,41,162,12,1,208
Pixel RGB 12mm,T01-B0002-P011,71,42,161,16,1,211
Pixel RGB 12mm,T01-B0002-P012,72,43,161,16,1,214
Pixel RGB 12mm,T01-B0002-P013,73,43,161,16,1,217
Pixel RGB 12mm,T01-B0002-P014,74,44,162,15,1,220
Pixel RGB 12mm,T01-B0002-P015,75,44,162,15,1,223
Pixel RGB 12mm,T01-B0002-P016,76,45,162,15,1,226
Pixel RGB 12mm,T01-B0002-P017,77,45,162,15,1,229
Pixel RGB 12mm,T01-B0002-P018,78,46,162,15,1,232
Pixel RGB 12mm,T01-B0002-P019,79,46,162,15,1,235
Pixel RGB 12mm,T01-B0002-P020,80,47,162,15,1,238
Pixel RGB 12mm,T01-B0002-P021,81,43,162,14,1,241
Pixel RGB 12mm,T01-B0002-P022,82,43,162,14,1,244
Pixel RGB 12mm,T01-B0002-P023,83,43,162,13,1,247
Pixel RGB 12mm,T01-B0002-P024,84,43,162,13,1,250
Pixel RGB 12mm,T01-B0002-P025,85,43,162,12,1,253
Pixel RGB 12mm,T01-B0002-P026,86,43,162,12,1,256
Pixel RGB 12mm,T01-B0002-P027,87,43,162,11,1,259
Pixel RGB 12mm,T01-B0002-P028,88,43,162,11,1,262
Pixel RGB 12mm,T01-B0002-P029,89,43,163,10,1,265
Pixel RGB 12mm,T01-B0002-P030,90,44,162,13,1,268
Pixel RGB 12mm,T01-B0002-P031,91,45,162,13,1,271
Pixel RGB 12mm,T01-B0002-P032,92,45,162,13,1,274
Pixel RGB 12mm,T01-B0002-P033,93,46,162,13,1,277
Pixel RGB 12mm,T01-B0002-P034,94,46,162,13,1,280
Pixel RGB 12mm,T01-B0002-P035,95,47,162,13,1,283
Pixel RGB 12mm,T01-B0002-P036,96,47,162,13,1,286
Pixel RGB 12mm,T01-B0002-P037,97,45,162,12,1,289
Pixel RGB 12mm,T01-B0002-P038,98,45,162,12,1,292
Pixel RGB 12mm,T01-B0002-P039,99,45,162,11,1,295
Pixel RGB 12mm,T01-B0002-P040,100,44,162,11,1,298
Pixel RGB 12mm,T01-B0002-P041,101,44,162,10,1,301
Pixel RGB 12mm,T01-B0002-P042,102,46,161,11,1,304
Pixel RGB 12mm,T01-B0002-P043,103,46,161,11,1,307
Pixel RGB 12mm,T01-B0002-P044,104,47,161,11,1,310
Pixel RGB 12mm,T01-B0002-P045,105,47,161,11,1,313
Pixel RGB 12mm,T01-B0002-P046,106,46,161,10,1,316
Pixel RGB 12mm,T01-B0002-P047,107,46,161,9,1,319
Pixel RGB 12mm,T01-B0002-P048,108,46,161,9,1,322
Pixel RGB 12mm,T01-B0002-P049,109,41,161,17,1,325
Pixel RGB 12mm,T01-B0002-P050,110,41,161,16,1,328
Pixel RGB 12mm,T01-B0002-P051,111,42,161,16,1,331
Pixel RGB 12mm,T01-B0002-P052,112,42,161,16,1,334
Pixel RGB 12mm,T01-B0002-P053,113,42,161,15,1,337
Pixel RGB 12mm,T01-B0002-P054,114,43,161,15,1,340
Pixel RGB 12mm,T01-B0002-P055,115,43,162,15,1,343
Pixel RGB 12mm,T01-B0002-P056,116,43,162,14,1,346
Pixel RGB 12mm,T01-B0002-P057,117,44,162,14,1,349
Pixel RGB 12mm,T01-B0002-P058,118,44,162,13,1,352
Pixel RGB 12mm,T01-B0002-P059,119,44,162,13,1,355
Pixel RGB 12mm,T01-B0002-P060,120,44,162,13,1,358
Pixel RGB 12mm,T01-B0002-P061,121,45,162,12,1,361
Pixel RGB 12mm,T01-B0002-P062,122,45,162,12,1,364
Pixel RGB 12mm,T01-B0002-P063,123,45,162,11,1,367
Pixel RGB 12mm,T01-B0002-P064,124,46,161,11,1,370
Pixel RGB 12mm,T01-B0002-P065,125,46,161,10,1,373
Pixel RGB 12mm,T01-B0002-P066,126,46,161,10,1,376
Pixel RGB 12mm,T01-B0002-P067,127,46,161,10,1,379
Pixel RGB 12mm,T01-B0002-P068,128,47,161,9,1,382
Pixel RGB 12mm,T01-B0002-P069,129,47,161,9,1,385
Pixel RGB 12mm,T01-B0003-P001,130,39,163,17,1,388
Pixel RGB 12mm,T01-B0003-P002,131,39,163,17,1,391
Pixel RGB 12mm,T01-B0003-P003,132,40,163,17,1,394
Pixel RGB 12mm,T01-B0003-P004,133,40,163,17,1,397
Pixel RGB 12mm,T01-B0003-P005,134,41,163,17,1,400
Pixel RGB 12mm,T01-B0003-P006,135,41,163,16,1,403
Pixel RGB 12mm,T01-B0003-P007,136,42,163,16,1,406
Pixel RGB 12mm,T01-B0003-P008,137,42,163,16,1,409
Pixel RGB 12mm,T01-B0003-P009,138,43,163,16,1,412
Pixel RGB 12mm,T01-B0003-P010,139,43,164,16,1,415
Pixel RGB 12mm,T01-B0003-P011,140,44,164,16,1,418
Pixel RGB 12mm,T01-B0003-P012,141,39,163,16,1,421
Pixel RGB 12mm,T01-B0003-P013,142,39,163,15,1,424
Pixel RGB 12mm,T01-B0003-P014,143,39,163,15,1,427
Pixel RGB 12mm,T01-B0003-P015,144,39,163,14,1,430
Pixel RGB 12mm,T01-B0003-P016,145,39,163,14,1,433
Pixel RGB 12mm,T01-B0003-P017,146,39,163,13,1,436
Pixel RGB 12mm,T01-B0003-P018,147,39,163,13,1,439
Pixel RGB 12mm,T01-B0003-P019,148,39,164,12,1,442
Pixel RGB 12mm,T01-B0003-P020,149,39,164,12,1,445
Pixel RGB 12mm,T01-B0003-P021,150,38,164,11,1,448
Pixel RGB 12mm,T01-B0003-P022,151,38,164,11,1,451
Pixel RGB 12mm,T01-B0003-P023,152,40,163,15,1,454
Pixel RGB 12mm,T01-B0003-P024,153,41,163,14,1,457
Pixel RGB 12mm,T01-B0003-P025,154,41,163,14,1,460
Pixel RGB 12mm,T01-B0003-P026,155,42,164,14,1,463
Pixel RGB 12mm,T01-B0003-P027,156,42,164,14,1,466
Pixel RGB 12mm,T01-B0003-P028,157,43,164,14,1,469
Pixel RGB 12mm,T01-B0003-P029,158,43,164,13,1,472
Pixel RGB 12mm,T01-B0003-P030,159,41,163,13,1,475
