controller,controller_port,port,universe_first,universe_last,pixels,type,tiers,branches
1,1,1,1,4,648,tree,1-1,1-10
1,2,2,5,8,648,tree,1-1,11-20
1,3,3,9,12,633,tree,1-1,21-30
1,4,4,13,16,657,tree,1-1,31-40
1,5,5,17,20,631,tree,1-2,41-50
1,6,6,21,24,655,tree,2-2,51-60
1,7,7,25,28,657,tree,2-2,61-70
1,8,8,29,32,654,tree,2-2,71-80
1,9,9,33,36,626,tree,2-2,81-90
1,10,10,37,40,640,tree,2-3,91-100
1,11,11,41,44,644,tree,3-3,101-110
1,12,12,45,48,652,tree,3-3,111-120
1,13,13,49,52,616,tree,3-3,121-130
1,14,14,53,56,611,tree,3-3,131-139
1,15,15,57,60,662,tree,3-4,140-149
1,16,16,61,64,671,tree,4-4,150-159
2,1,17,65,68,657,tree,4-4,160-169
2,2,18,69,72,655,tree,4-4,170-179
2,3,19,73,76,646,tree,4-4,180-189
2,4,20,77,80,640,tree,4-5,190-199
2,5,21,81,84,646,tree,5-5,200-209
2,6,22,85,88,651,tree,5-5,210-219
2,7,23,89,92,645,tree,5-5,220-229
2,8,24,93,96,662,tree,5-6,230-239
2,9,25,97,100,651,tree,6-6,240-249
2,10,26,101,104,657,tree,6-6,250-259
2,11,27,105,108,650,tree,6-6,260-269
2,12,28,109,112,653,tree,6-6,270-279
2,13,29,113,116,644,tree,6-7,280-289
2,14,30,117,120,645,tree,7-7,290-299
2,15,31,121,124,658,tree,7-7,300-309
2,16,32,125,128,657,tree,7-7,310-319
3,1,33,129,132,680,tree,7-8,320-330
3,2,34,133,136,656,tree,8-8,331-340
3,3,35,137,140,644,tree,8-8,341-350
3,4,36,141,144,640,tree,8-8,351-360
3,5,37,145,148,649,tree,8-8,361-370
3,6,38,149,152,664,tree,8-9,371-380
3,7,39,153,156,653,tree,9-9,381-390
3,8,40,157,160,664,tree,9-9,391-400
3,9,41,161,164,626,tree,9-9,401-410
3,10,42,165,168,675,tree,9-10,411-420
3,11,43,169,172,644,tree,10-10,421-430
3,12,44,173,176,657,tree,10-10,431-440
3,13,45,177,180,649,tree,10-10,441-450
3,14,46,181,184,610,tree,10-11,451-459
3,15,47,185,188,653,tree,11-11,460-469
3,16,48,189,192,649,tree,11-11,470-479
4,1,49,193,196,635,tree,11-11,480-489
4,2,50,197,200,654,tree,11-12,490-499
4,3,51,201,204,675,tree,12-12,500-509
4,4,52,205,208,647,tree,12-12,510-519
4,5,53,209,212,626,tree,12-12,520-529
4,6,54,213,216,662,tree,13-13,530-539
4,7,55,217,220,643,tree,13-13,540-549
4,8,56,221,224,640,tree,13-13,550-559
4,9,57,225,228,654,tree,13-14,560-569
4,10,58,229,232,672,tree,14-14,570-579
4,11,59,233,236,645,tree,14-14,580-589
4,12,60,237,240,636,tree,14-15,590-599
4,13,61,241,244,654,tree,15-15,600-609
4,14,62,245,248,655,tree,15-15,610-619
4,15,63,249,252,651,tree,15-15,620-629
4,16,64,253,256,644,tree,15-16,630-639
5,1,65,257,260,651,tree,16-16,640-649
5,2,66,261,264,666,tree,16-16,650-659
5,3,67,265,268,655,tree,16-17,660-669
5,4,68,269,272,660,tree,17-17,670-679
5,5,69,273,276,655,tree,17-17,680-689
5,6,70,277,280,635,tree,18-18,690-699
5,7,71,281,284,661,tree,18-18,700-709
5,8,72,285,288,639,tree,18-19,710-719
5,9,73,289,292,666,tree,19-19,720-729
5,10,74,293,296,663,tree,19-19,730-739
5,11,75,297,300,633,tree,19-20,740-749
5,12,76,301,304,622,tree,20-20,750-759
5,13,77,305,308,676,tree,20-21,760-770
5,14,78,309,312,639,tree,21-21,771-781
5,15,79,313,316,629,tree,21-22,782-792
5,16,80,317,320,676,tree,22-22,793-805
6,1,81,321,324,665,tree,22-23,806-819
6,2,82,325,328,678,tree,23-24,820-836
6,3,83,329,332,656,tree,24-25,837-854
6,4,84,333,336,679,tree,25-27,855-881
6,5,85,337,339,362,tree,27-31,882-919
6,6,86,341,343,404,star,,924-925
